tmdb_id,imdb_id,title,original_title,overview,tagline,release_date,release_year,original_language,runtime,status,budget,revenue,popularity,vote_average,vote_count,adult
8872,tt0105793,Wayne's World,Wayne's World,"When a sleazy TV exec offers Wayne and Garth a fat contract to tape their late-night public access show at his network, they can't believe their good fortune. But they soon discover the road from basement to big-time is a gnarly one, fraught with danger, temptation and ragin' party opportunities.",You'll laugh. You'll cry. You'll hurl.,1992-02-14,1992,en,94.0,Released,20000000,121697323.0,10.180776,6.5,738.0,0
11247,tt0356470,A Cinderella Story,A Cinderella Story,"Sam Montgomery is a tomboyish, unpopular girl at school. She has been text messaging a somebody named Nomad for a few months and he asks her to meet him at the Halloween dance at 11:00 in the middle of the dance floor. The only problem is, she must get back to the diner, ran by her wicked Stepmom Fiona by 12 sharp because she is not supposed to be there. Before Nomad can found out who she is, she must leave with her best friend, Carter driving her back to the diner. After that night, everything in Sam's life goes wacko!",Once upon a time... can happen any time.,2004-07-10,2004,en,95.0,Released,19000000,70067909.0,8.385361,6.1,737.0,0
80,tt0381681,Before Sunset,Before Sunset,Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.,What if you had a second chance with the one that got away?,2004-02-10,2004,en,80.0,Released,2700000,15992615.0,7.048957,7.6,734.0,0
10358,tt1007028,Zack and Miri Make a Porno,Zack and Miri Make a Porno,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",What would you do to get out of debt?,2008-09-18,2008,en,102.0,Released,24000000,42105111.0,6.449332,6.1,734.0,0
41436,tt1536044,Paranormal Activity 2,Paranormal Activity 2,"Just as Dan and Kristi welcome a newborn baby into their home, a demonic presence begins terrorizing them, tearing apart their perfect world and turning it into an inescapable nightmare. Security cameras capture the torment, making every minute horrifyingly real.",In 2009 you demanded it. Nothing can prepare you for what's next.,2010-10-20,2010,en,91.0,Released,3000000,177512032.0,7.388933,5.7,734.0,0
140420,tt2388725,Paperman,Paperman,An urban office worker finds that paper airplanes are instrumental in meeting a girl in ways he never expected.,"Delicate, charming and sweet.",2012-11-02,2012,en,7.0,Released,0,0.0,7.198633,8.0,734.0,0
69,tt0358273,Walk the Line,Walk the Line,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",Love is a burning thing.,2005-09-13,2005,en,136.0,Released,28000000,186438883.0,11.476443,7.3,732.0,0
124459,tt0790628,The Incredible Burt Wonderstone,The Incredible Burt Wonderstone,"After breaking up with his longtime stage partner, a famous but jaded Vegas magician fights for relevance when a new, ""hip"" street magician appears on the scene.",Abracatastic!,2013-03-14,2013,en,100.0,Released,30000000,27437881.0,9.385769,5.3,732.0,0
5925,tt0057115,The Great Escape,The Great Escape,"The Nazis, exasperated at the number of escapes from their prison camps by a relatively small number of Allied prisoners, relocates them to a high-security 'escape-proof' camp to sit out the remainder of the war. Undaunted, the prisoners plan one of the most ambitious escape attempts of World War II. Based on a true story.",Put a fence in front of these men... and they'll climb it!,1963-06-20,1963,en,172.0,Released,4000000,11744471.0,14.384114,7.8,731.0,0
7461,tt0443274,Vantage Point,Vantage Point,The attempted assassination of the American President is told and re-told from several different perspectives.,"8 Strangers, 8 points of view.  1 Truth.",2008-02-01,2008,en,90.0,Released,40000000,151161491.0,7.001645,6.3,731.0,0
8922,tt0263488,Jeepers Creepers,Jeepers Creepers,"A college-age brother and sister get more than they bargained for on their road trip home from spring break. When the bickering siblings witness a creepy truck driver tossing body bags into a sewer near an abandoned church, they investigate. Bad move! Opening a Pandora's Box of unspeakable evil, the pair must flee for their lives -- with a monstrous ""shape"" in hot pursuit.",What’s eating you?,2001-07-01,2001,en,90.0,Released,10000000,59217789.0,10.414363,6.1,731.0,0
164457,tt1206543,Out of the Furnace,Out of the Furnace,"Two brothers live in the economically-depressed Rust Belt, when a cruel twist of fate lands one in prison. His brother is then lured into one of the most violent crime rings in the Northeast.",Sometimes your battles choose you.,2013-12-06,2013,en,116.0,Released,22000000,15400000.0,6.760321,6.5,731.0,0
